target
AXL
ADORA2B
NT5E
TNFRSF12A
HK2
PTPN6
PFKP
LY96
IL1A
ID3
PTH1R
DYRK3
IL18R1
GALM
CELSR2
HDAC9
CYP39A1
RHOH
CARTPT
MET
PLAT
PTEN
CDKN1C
CLEC14A
CD47
